FilmName,enFID,BoxOffice
美人鱼,626153,339718
西游记之孙悟空三打白骨精,626346,120101
湄公河行动,639445,118822
长城,595849,117457
澳门风云3,637759,111821
盗墓笔记,611818,100453
功夫熊猫3,639351,100200
绝地逃亡,621641,88950
从你的全世界路过,626806,81423
北京遇上西雅图之不二情书,639261,78680
叶问3,610219,77031
铁道飞虎,637972,69985
寒战2,641077,67826
情圣,653984,65886
使徒行者,637798,60631
大鱼海棠,618087,57498
我不是潘金莲,640103,48373
摆渡人,628225,48297
爵迹,637814,38291
火锅英雄,617763,37054
大话西游3,631476,36605
致青春·原来你还在这里,619127,33686
我的特工爷爷,628035,32445
熊出没之熊心归来,640206,28775
封神传奇,626988,28397
微微一笑很倾城,631411,27585
王牌逗王牌,642914,26034
卧虎藏龙：青冥宝剑,618023,25625
赏金猎人,615259,21351
反贪风暴2,639446,20909
陆垚知马俐,644059,19212
谁的青春不迷茫,619412,17991
最后的巫师猎人,633345,17989
驴得水,628324,17306
危城,639257,16739
七月与安生,626298,16695
比利·林恩的中场战事,625158,16518
夏有乔木 雅望天堂,627597,15641
追凶者也,631288,13590
高跟鞋先生,628676,12996
28岁未成年,640662,12937
睡在我上铺的兄弟,637810,12782
极限挑战之皇家宝藏,640866,12551
罗曼蒂克消亡史,617156,12297
惊天破,644689,11433
三少爷的剑,573488,10075
三人行,631111,10054
新大头儿子和小头爸爸2一日成才,653081,9058
魔宫魅影,637777,8844
百鸟朝凤,611464,8695
所以……和黑粉结婚了,639833,8118
梦想合伙人,628773,8101
小门神,627347,7868
惊天大逆转,644032,7866
捉迷藏,644455,7146
我们诞生在中国,644633,6665
神秘世界历险记3,639105,6550
消失爱人,637761,6449
女汉子真爱公式,637664,6338
超级快递,637633,6195
外公芳龄38,627541,6042
快手枪手快枪手,643909,5419
过年好,642644,5405
奔爱,631748,4752
我们的十年,628417,4409
冰河追凶,629520,4321
真相禁区,638630,4204
摇滚藏獒,589485,3965
我最好朋友的婚礼,638742,3745
那件疯狂的小事叫爱情,643749,3659
我的战争,628658,3648
天亮之前,627864,3641
冲天火,652864,3617
蒸发太平洋,629996,3505
那年夏天你去了哪里,656433,3469
年兽大作战,637947,3451
我的新野蛮女友,629147,3419
勇士,656434,3322
夜孔雀,615789,3318
大唐玄奘,638623,3304
恶人报喜,630691,2754
一切都好,639519,2623
精灵王座,630554,2511
整形师·脸,642660,2375
疯狂丑小鸭,638973,2341
勇士之门,626571,2284
冒牌卧底,642338,2231
阿里巴巴2所罗门封印,643594,2204
麦兜·饭宝奇兵,644259,2126
太空熊猫英雄归来,642433,2100
妄想症,639470,2096
一句顶一万句,638956,2090
超能太阳鸭,643246,2008
铠甲勇士捕王,641933,1859
谎言西西里,629778,1807
爱情麻辣烫之情定终身,628132,1735
笨贼别跑,642987,1677
少年,643864,1591
你好，疯子！,642541,1569
宝贝当家,639418,1527
请把你的窗户打开,627375,1514
谋杀似水年华,630033,1350
青蛙总动员,643854,1256
我叫哀木涕之山口山战记,644329,1216
诡梦凶铃,642545,1177
再见，在也不见,630869,1148
小明和他的小伙伴们,641546,1125
老阿姨,640892,1113
在世界中心呼唤爱,640694,1106
发条城市,644004,1105
筷仙,641094,1083
摩尔庄园3：魔幻列车大冒险,618156,1064
大火种,638693,1044
回马亭,626499,1033
国酒,631280,1021
我是哪吒,641527,1018
纽约纽约,630583,955
钢刀,608975,940
床下有人3,639743,929
开罗宣言,627938,902
洛杉矶捣蛋计划,643570,898
情况不妙,631427,887
妖医,627639,876
判我有罪,618587,866
果宝特攻之水果大逃亡,631033,835
刺猬小子之天生我刺,613641,823
泡沫之夏,628123,815
育婴室,626534,805
致我们终将到来的爱情,638755,805
魔轮,644103,784
蜜月酒店杀人事件,628257,762
黑处有什么,642485,761
泰迪熊之玩具大战,644260,754
马小乐之玩具也疯狂,643746,742
笔仙诡影,640869,734
非常父子档,644824,723
神兽金刚之青龙再现,653050,722
七月半2：前世今生,643850,709
六弄咖啡馆,637773,655
路边野餐,640198,648
我在故宫修文物,657753,647
毛丰美,642478,632
斗龙战士之星印罗盘,640092,620
最萌身高差,627914,619
恐怖将映,642966,607
白毛女,642530,588
猫脸老太太,638260,586
贫穷富爸爸,628208,586
难忘的岁月,646950,579
箭士柳白猿,596554,559
死亡游戏,643852,552
超级保镖,618766,552
诡娃,641998,526
笔仙撞碟仙,637652,523
当流星划过天际,597232,516
恶灵之门,641976,514
糖果世界大冒险,626990,506
龙拳小子,642220,496
终极硬汉,628466,492
幽灵医院,644851,485
我是处女座,628862,468
聊斋新编之画皮新娘,640982,453
呆呆计划,637667,449
张震讲故事之合租屋,644267,443
青蛙王国之冰冻大冒险,642563,434
丑小鸭历险记,644443,432
魔都凶音,644374,415
诡新娘,628843,400
荒村怨灵,641154,396
水果宝贝之水果总动员,626997,393
不速之客,629547,392
恐怖禁忌之红旗袍,639810,387
死亡笔记,638004,369
古曼,642981,363
记忆碎片,643572,361
荒村凶间,652803,343
长江图,590216,327
食人岛,653080,321
我们毕业啦,639860,292
恭喜发财之谈钱说爱,642939,277
我不是王毛,618763,269
恐怖笔记,626520,261
新木偶奇遇记,638011,257
夺路而逃,629664,250
功夫四侠,646924,247
花样厨神,630936,242
遵义会议,652767,239
一家老小向前冲,640012,238
催命符,638745,237
半熟少女,643407,233
夜半哭声,640075,229
超级幼儿园,657093,227
失眠男女,638865,224
枕边有张脸2,638261,218
夏威夷之恋,643886,216
怨灵地下室,656204,209
白云桥,641874,198
五女闹京城,642246,195
舌尖上的新年,627885,195
近在咫尺的爱恋,587790,194
凄灵室,640460,186
白雪公主和三只小猪,641951,177
喜乐长安,592975,171
爱在星空下,615322,171
南口1937,626946,169
少年师爷之大禹宝藏,644041,163
生门,656895,160
轩辕大帝,572888,152
动植物大战,644395,145
恐怖照相机,631542,134
筑梦人,639709,133
同城邂逅,616582,121
社区主任,646979,117
致命怪谈,643102,114
恋爱教父之三个“坏”家伙,630695,114
爱在深秋,637766,113
塔洛,629073,113
小蚂蚁之环球大冒险,644136,111
古田会议,637632,110
终极胜利,638447,106
隔壁惊魂,642967,105
午夜寻访录,594070,104
爸爸我来救你了,627440,99
爱你的人,643007,97
幸运是我,637769,96
皇帝的新装之圣诞大明星,642420,95
爸爸的3次婚礼,616073,95
谎言大爆炸,642286,88
喊·山,629947,88
笑林足球,588948,87
击战,655511,86
猿创世界之熊孩子部落,642913,86
党的女儿尹灵芝,644690,76
我的“狐朋狗友”,640367,75
恐怖爱情故事之死亡公路,639654,74
不朽的时光,630366,73
一条叫王子的狗,640053,71
临时约定,640167,69
我的圣途,637935,67
盛先生的花儿,646952,63
热血雷锋侠之激情营救,643847,63
Hi，高考君,643004,63
丝路英雄·云镝,641905,62
绝战,641092,61
爱神箭,640021,61
海洋之恋,627087,56
大山的女儿,642958,55
小魔仙之黑魔法来袭,655474,54
奇葩追梦,655151,49
爱上试睡师,657788,49
青涩日记,629468,46
为爱放手,631800,45
狼兵吼,640168,45
回乡逗儿,638604,45
异性合租的往事,595693,45
爱的“蟹”逅,644110,44
儿大女大,641685,44
不离不弃,653077,43
708090之深圳恋歌,629428,43
别开门,640775,42
越囧,627981,41
失心者,641795,39
沙漠之心,657719,39
珍珠塔（锡剧）,641650,39
警魂之命悬一线,639736,38
不许动！,644598,37
再生之乐,637941,37
呼吸正常,640181,36
冬,641994,33
狱中惊魂,656505,33
男神抱抱,643901,32
减法人生,646955,32
大会师,644498,31
当我们年轻的时候,638720,31
有迹可循,652824,30
吉祥宝宝之我是食神,646934,30
购物女王,596523,27
山那边有匹马,628188,27
新东方神娃,655874,26
练胆儿,643168,24
夜魔人,646994,24
凤凰谷,616879,23
女神时代,638706,22
那年我对你的承诺,643005,22
杠上开花,617523,21
四渡赤水,655184,20
毒中毒,629316,20
我的1000万,639303,19
牡丹仙子之皇帝诏曰,656469,19
人鱼校花,640709,19
老警,626557,19
心灵解码,619660,18
情花谷,642956,17
谁的青春不热血之深流不息,640172,15
三个孬家伙,629962,15
热土悲歌,631489,14
小熊的夏天,627913,14
爸爸的木房子,638889,12
决不饶恕,643386,12
生死96小时,657341,12
老腔,653913,11
山花烂漫时,644572,11
我的女神女汉子,638607,11
玩命剧组,614095,11
皇甫谧,627985,11
难忘金银滩,595748,10
勿忘初心,639690,10
假装看不见之电影大师,627572,9
东宫皇子,640817,9
你是不是我的爱人,642655,9
丢羊,646948,9
爱上处女座,639482,9
决不姑息,652828,9
T台魔王,643273,9
飞天窑女,641067,8
先锋之那时青春,657275,8
那美,658585,8
小小校长,638241,8
永远的绿盖头,628872,8
脱单宝典,657003,7
我的朋友圈,655852,7
换个活法,652810,7
锅是铁,657262,7
一夜危机,626541,7
诡咒,641014,7
返乡,627036,6
布基兰,626559,5
最后证言,639816,5
冰美人,642291,5
非同小可,642733,5
水滴之梦,644346,5
爱情不等式,631098,5
自我救赎,629807,5
风口青春,640040,5
被劫持的爱情,618139,5
飞跃彩虹,629574,4
一棵心中的许愿树,654322,4
试睡员48小时,642510,4
不是钱的事,630983,4
何去何从,642937,4
夺命推理,639398,4
岛囧,646923,4
小角色,638305,3
看见我和你,631025,3
流金,657727,3
疯狂的疯狂,596864,3
少年梦,640051,3
雏鸟的天空,639055,3
天使请吻我,629981,2
莫斯科离大同不远,631418,2
心语阳光,637600,2
太阳河,639621,2
逆境王牌,643400,2
怦·心跳,644384,2
我很帅,618298,2
平凡的足球,638606,2
风起同仁堂,642500,2
人在驴途,631796,2
断片儿,618941,1
非常绑架,640784,1
红颜容,655262,1
刻在石磨上的勋章,644891,1
丫语心声,643838,1
求生者,615133,1
骆驼客2：箭在弦,646985,1
低碳爱情,617248,1
在雨中,628414,1
爱的钟声,610016,1
贡嘎日噢,617562,1
恋,654274,1
十月阳春,640990,1
钢板咏叹调,559950,1
血证一九二八,644383,
兄弟之北漂歌手,638303,
骑士本色,643390,
甜水谣,631717,
黄桷树下的孩子们,629599,
红小鬼齐步走,642639,
乡村女人,619109,
夜郎侠之一路危途,642653,
