FilmName,enFID,BoxOffice
战狼2,641515,568781.0
你好，李焕英,662746,538693.0
哪吒之魔童降世,662685,503502.0
流浪地球,642412,468680.0
唐人街探案3,676314,451844.0
红海行动,655823,365121.0
唐人街探案2,663419,339769.0
美人鱼,626153,339718.0
我和我的祖国,691481,317612.0
八佰,669412,310232.0
我不是药神,676313,309996.0
中国机长,681319,291312.0
我和我的家乡,701620,282883.0
西虹市首富,671983,254757.0
捉妖记,627896,244146.0
捉妖记2,656875,223715.0
疯狂的外星人,638300,221425.0
羞羞的铁拳,661004,220175.0
前任3：再见前任,663359,194174.0
功夫瑜伽,629898,175260.0
飞驰人生,676018,172937.0
烈火英雄,692321,170719.0
寻龙诀,614981,168274.0
西游伏妖篇,619719,165593.0
港囧,618038,161410.0
姜子牙,682630,160298.0
少年的你,680681,155903.0
夏洛特烦恼,628183,144782.0
送你一朵小红花,701874,143250.0
芳华,659453,142258.0
后来的我们,663327,136153.0
一出好戏,677028,135505.0
误杀,693266,133446.0
拆弹专家2,691902,131477.0
扫毒2：天地对决,682018,131289.0
无双,678141,127377.0
西游记之孙悟空三打白骨精,626346,120101.0
湄公河行动,639445,118822.0
叶问4：完结篇,624015,118331.0
长城,595849,117457.0
煎饼侠,629410,116276.0
金刚川,701994,112342.0
澳门风云3,637759,111821.0
攀登者,683180,110460.0
乘风破浪,655798,104853.0
刺杀小说家,644881,103427.0
盗墓笔记,611818,100453.0
功夫熊猫3,639351,100200.0
澳门风云2,627594,97486.0
西游记之大圣归来,630887,95657.0
超时空同居,676391,90300.0
老炮儿,617155,90280.0
绝地逃亡,621641,88950.0
银河补习班,682208,87834.0
碟中谍5：神秘国度,636000,86977.0
温暖的抱抱,695877,86455.0
夺冠,676043,83569.0
唐人街探案,638436,82442.0
从你的全世界路过,626806,81423.0
反贪风暴4,682238,79909.0
无名之辈,678587,79454.0
北京遇上西雅图之不二情书,639261,78680.0
叶问3,610219,77031.0
人潮汹涌,701866,75886.0
大闹天竺,637920,75793.0
无问西东,589946,75430.0
天将雄师,626314,74418.0
西游记女儿国,644530,72738.0
熊出没·原始时代,683172,71814.0
狼图腾,612432,70486.0
使徒行者2：谍影行动,685579,70223.0
铁道飞虎,637972,69985.0
悟空传,629524,69654.0
宠爱,685447,68411.0
九层妖塔,615300,68294.0
寒战2,641077,67826.0
情圣,653984,65886.0
恶棍天使,631030,64959.0
来电狂响,684192,64146.0
影,589352,62899.0
新喜剧之王,683395,62802.0
狄仁杰之四大天王,660451,60634.0
使徒行者,637798,60631.0
熊出没·变形记,670573,60550.0
李茶的姑妈,672319,60435.0
熊出没·狂野大陆,695236,59293.0
