FilmName,enFID,BoxOffice
红海行动,655823,365121
唐人街探案2,663419,339769
我不是药神,676313,309996
西虹市首富,671983,254757
捉妖记2,656875,223715
后来的我们,663327,136153
一出好戏,677028,135505
无双,678141,127377
超时空同居,676391,90300
无名之辈,678587,79454
无问西东,589946,75430
西游记女儿国,644530,72738
来电狂响,684192,64146
影,589352,62899
狄仁杰之四大天王,660451,60634
熊出没·变形记,670573,60550
李茶的姑妈,672319,60435
邪不压正,638109,58348
爱情公寓,612645,55543
动物世界,660959,50968
厉害了，我的国,675239,48056
反贪风暴3,668657,44299
快把我哥带走,654239,37531
幕后玩家,669662,35861
悲伤逆流成河,672933,35742
黄金兄弟,680427,31749
找到你,675304,28528
地球最后的夜晚,642519,28220
胖子行动队,669661,26107
南极之恋,626831,23448
猛虫过江,653845,20365
祖宗十九代,670442,16984
新大头儿子和小头爸爸3：俄罗斯奇遇记,672751,15823
欧洲攻略,637824,15321
云南虫谷,672799,15037
大师兄,674426,14630
叶问外传：张天志,660756,13183
新乌龙院之笑闹江湖,637873,13098
天气预爆,682647,12384
风语咒,677201,11285
21克拉,642174,11013
神秘世界历险记4,673286,10477
幸福马上来,652546,10113
浴血广昌,672442,10038
昨日青空,631038,8383
你好，之华,677693,8022
武林怪兽,656597,7966
阿凡提之奇缘历险,679295,7842
冰雪女王3：火与冰,639863,7422
潜艇总动员：海底两万里,657490,7271
泄密者,668962,7082
江湖儿女,672829,6995
龙虾刑警,654226,6879
闺蜜2,629372,6434
英雄本色2018,663226,6307
新灰姑娘,682164,6022
暴裂无声,668536,5426
狗十三,619583,5131
遇见你真好,662641,5101
断片之险途夺宝,666460,5049
阿修罗,628633,4984
谜巢,661934,4950
爸，我一定行的,674343,4707
卧底巨星,668959,3927
妈妈咪鸭,670904,3809
战神纪,643724,3808
大闹西游,675234,3792
我是你妈,671362,3682
脱单告急,643903,3502
低压槽：欲望之城,661851,3491
冰封侠:时空行者,616870,3450
奇葩朵朵,640887,3021
恐龙王,681602,2862
照相师,675139,2844
金龟子,655654,2778
大路朝天,675900,2664
宝贝儿,629824,2472
坏爸爸,667840,2448
猫与桃花源,655316,2180
中国合伙人2,638435,2073
魔镜奇缘2,672649,2063
藏北秘岭·重返无人区,673593,2058
泡芙小姐,666513,1934
天渠,674436,1871
功夫联盟,666952,1798
中国蓝盔,663152,1793
我说的都是真的,644531,1784
深海历险记,676757,1760
为你写诗,673542,1278
李保国,680504,1277
道高一丈,641617,1207
信仰者,676763,1161
天慕,678280,1066
黄大年,675812,1057
阿里巴巴三根金发,676874,1031
龟兔大作战,684593,1008
春天的马拉松,681662,1007
远去的牧歌,682178,1004
美食大冒险之英雄烩,678323,998
说走就走之不说再见,642601,987
24小时：末路重生,671502,977
解码游戏,643976,969
最后一公里,675992,904
小悟空,677988,881
特别追踪,680364,864
人怕出名猪怕壮,672657,838
又是一年三月三,676566,806
脱皮爸爸,641843,803
未择之路,641088,745
香港大营救,619427,678
大寒,638262,670
